Site,Month,WY,Date
1,6,2005,2005-06-23
1,6,2007,2007-06-14
1,6,2008,2008-06-19
1,6,2009,2009-06-18
1,6,2010,2010-06-17
1,6,2011,2011-06-30
1,6,2012,2012-06-14
1,6,2014,2014-06-19
1,6,2021,2021-06-15
1,6,2022,2022-06-29
1,10,2003,2002-10-10
1,10,2004,2003-10-16
1,10,2005,2004-10-14
1,10,2006,2005-10-13
1,10,2007,2006-10-12
1,10,2008,2007-10-11
1,10,2009,2008-10-09
1,10,2010,2009-10-08
1,10,2011,2010-10-14
1,10,2013,2012-10-11
1,10,2014,2013-10-09
1,10,2015,2014-10-14
11,5,2022,2022-05-31
11,6,2003,2003-06-05
11,6,2005,2005-06-22
11,6,2007,2007-06-13
11,6,2008,2008-06-18
11,6,2009,2009-06-17
11,6,2010,2010-06-08
11,6,2011,2011-06-11
11,6,2012,2012-06-13
11,6,2014,2014-06-17
11,10,2003,2002-10-10
11,10,2004,2003-10-16
11,10,2005,2004-10-13
11,10,2006,2005-10-10
11,10,2007,2006-10-11
11,10,2008,2007-10-10
11,10,2009,2008-10-08
11,10,2010,2009-10-07
11,10,2011,2010-10-13
11,10,2015,2014-10-15
11,10,2022,2021-10-04
12,6,2003,2003-06-06
12,6,2004,2004-06-16
12,6,2005,2005-06-22
12,6,2006,2006-06-14
12,6,2007,2007-06-13
12,6,2008,2008-06-18
12,6,2010,2010-06-07
12,6,2011,2011-06-15
12,6,2012,2012-06-12
12,6,2014,2014-06-17
12,10,2003,2002-10-09
12,10,2004,2003-10-17
12,10,2005,2004-10-13
12,10,2006,2005-10-12
12,10,2007,2006-10-11
12,10,2008,2007-10-10
12,10,2009,2008-10-08
12,10,2010,2009-10-07
12,10,2011,2010-10-12
12,10,2012,2011-10-11
12,10,2013,2012-10-12
12,10,2014,2013-10-16
13,6,2003,2003-06-07
13,6,2004,2004-06-15
13,6,2005,2005-06-21
13,6,2006,2006-06-13
13,6,2007,2007-06-12
13,6,2008,2008-06-17
13,6,2010,2010-06-07
13,6,2011,2011-06-14
13,6,2014,2014-06-19
13,6,2021,2021-06-14
13,10,2003,2002-10-10
13,10,2004,2003-10-10
13,10,2005,2004-10-12
13,10,2006,2005-10-11
13,10,2007,2006-10-13
13,10,2008,2007-10-09
